Row,lyon_regions_cog_network_assignment
1,2
2,2
3,2
5,2
9,7
10,7
11,5
12,7
13,5
14,5
23,4
25,5
31,4
32,7
44,6
24a,7
24b,7
24c,7
24d,7
29/30,6
45A,7
45B,7
46d,6
46v,6
7A,6
7B,3
7m,2
7op,4
8B,7
8l,6
8m,6
8r,6
9/46d,4
9/46v,6
AIP,3
CORE,2
DP,3
ENTORHINAL,5
F1,2
F2,7
F3,7
F4,3
F5,7
F6,7
F7,7
FST,7
Gu,4
INSULA,4
IPa,7
LB,2
LIP,3
MB,2
MIP,3
MST,6
MT,7
OPAI,5
OPRO,7
Parainsula,5
PBc,2
PBr,7
PERIRHINAL,5
PGa,7
PIP,3
PIRIFORM,1
ProM,7
Pro.St,1
SII,4
STPc,2
STPi,7
STPr,5
SUBICULUM,1
TEad,5
TEa/ma,5
TEa/mp,5
TEav,5
TEMPORAL_POLE,5
TEO,1
TEOm,1
TEpd,1
TEpv,1
TH/TF,7
TPt,4
V1,1
V2,1
V3,1
V3A,1
V4,1
V4t,1
V6,1
V6A,3
VIP,3
